"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Energy metabolism","cge00190","Oxidative phosphorylation","21/374","162/10848",0.12962962962963,3.75995246583482,6.68783979381972,1.63465124597681e-07,4.93664676284997e-05,4.52540292307265e-05,"100770018/100771541/100762500/100774657/100689361/100762893/100762129/100772543/100754222/100760870/100774095/100774299/100752739/100770445/100765445/100757431/100755007/100765359/100755890/100754444/100757815",21
"Human Diseases","Cardiovascular disease","cge05415","Diabetic cardiomyopathy","25/374","235/10848",0.106382978723404,3.08567527591307,6.10795569759772,5.28292587943763e-07,7.97721807795083e-05,7.31268161206367e-05,"100770018/100771541/100766656/100774657/100689361/100762893/100762129/100769961/100772543/100754222/100760870/100774095/100752739/100759814/100770445/100765445/100756356/100757431/100755007/100755890/100754444/100763714/100770682/100773086/100753589",25
"Human Diseases","Neurodegenerative disease","cge05020","Prion disease","28/374","301/10848",0.0930232558139535,2.6981718691705,5.64592043471298,1.69311122932181e-06,0.000135048867885746,0.000123798718208265,"100770018/100771541/100774657/100770418/100689361/100762893/100754788/100762129/100772543/100754222/100760870/100755852/100774095/100752739/100770445/100765445/100757431/100689186/100755007/100763514/100759746/100755890/100754444/100682528/100761880/100759556/100689386/100773086",28
"Genetic Information Processing","Translation","cge03010","Ribosome","32/374","375/10848",0.0853333333333333,2.47512299465241,5.49341806653,2.01388057233782e-06,0.000135048867885746,0.000123798718208265,"100756201/100756498/100754588/100755355/100751142/100759894/100765425/100766987/100774673/100754112/100773230/103162454/100689293/100764474/100767971/100756654/100689292/100752233/100757231/100770845/100774219/100755991/100761388/100767024/100750602/100769317/100755309/100759466/100761992/100753386/100689400/100758533",32
"Human Diseases","Endocrine and metabolic disease","cge04932","Non-alcoholic fatty liver disease","20/374","174/10848",0.114942528735632,3.3339479992624,5.86457489565554,2.2359084087044e-06,0.000135048867885746,0.000123798718208265,"100774657/100689361/100762893/100760281/100762129/100772543/100750680/100754222/100760870/100774095/100770445/100772359/100765445/100757431/100689186/100755007/100763514/100755890/100754444/100689386",20
"Environmental Information Processing","Signal transduction","cge04010","MAPK signaling pathway","28/374","338/10848",0.0828402366863905,2.40280985982343,4.95096821551006,1.55890030504096e-05,0.000784646486870615,0.000719282070571529,"100757479/100759870/103158591/100771756/100765320/100761260/100754788/100763481/100761932/100774580/100754799/100766308/100752828/100763514/100757339/100770568/100768862/100761105/103159266/100752851/100759545/100771728/100772017/100758694/100756587/100759556/100765888/100689386",28
"Organismal Systems","Nervous system","cge04723","Retrograde endocannabinoid signaling","17/374","159/10848",0.106918238993711,3.10120068610635,5.04349847634064,3.34709793692394e-05,0.00144403368135861,0.00132373948482857,"100751220/100689361/100762893/100757206/100754788/100762129/100772543/100754222/100760870/100769391/100774095/100770445/100765445/100757431/100755007/100755890/100754444",17
"Cellular Processes","Cell growth and death","cge04110","Cell cycle","17/374","162/10848",0.104938271604938,3.04377104377104,4.95240895819345,4.25707516729865e-05,0.00160704587565524,0.00147317206447309,"100774733/100767345/100689335/100769958/100765630/100760464/100755867/100770842/100769890/100770748/100762556/100767122/103159266/100753258/100756580/100753081/100760676",17
"Human Diseases","Infectious disease: viral","cge05171","Coronavirus disease","30/374","419/10848",0.0715990453460621,2.07675519763123,4.24753524264021,0.000119788427087039,0.00401956722003175,0.00368472003788202,"100756201/100754588/100751142/100765221/100765425/100774580/100766987/100754112/100767181/100773230/103162454/100689293/100767971/100756654/100689292/100757231/100770845/100689186/100767983/100774219/100755991/100767024/100750602/100689423/100755309/100759466/100761992/100753386/100689400/100758533",30
"Organismal Systems","Environmental adaptation","cge04714","Thermogenesis","22/374","297/10848",0.0740740740740741,2.14854426619132,3.79239432124105,0.000613240574482717,0.0169132374756999,0.0155042922834056,"100770018/100771541/100774657/100689361/100762893/100762894/100762129/100772543/100754222/100760870/100774095/100752739/100770445/100772359/100765445/100757431/100755007/100757339/100755890/100754444/100757815/100767138",22
"Human Diseases","Neurodegenerative disease","cge05016","Huntington disease","24/374","337/10848",0.0712166172106825,2.06566273663498,3.75532085178448,0.000617936657910383,0.0169132374756999,0.0155042922834056,"100770018/100771541/100750737/100752285/100768031/100774657/100689361/100762893/100762129/100772543/100750680/100754222/100760870/100768814/100754224/100774095/100752739/100770445/100765445/100757431/100755007/100755890/100754444/100682528",24
"Cellular Processes","Cell motility","cge04820","Cytoskeleton in muscle cells","19/374","242/10848",0.0785123966942149,2.27727935652097,3.7971005797404,0.000710890869341902,0.0169132374756999,0.0155042922834056,"100771467/100689447/100757304/100760866/100760878/100750399/100759814/100762814/100760007/100756256/100766812/100758386/100756672/100770756/100754575/100751405/100770600/100753383/100753589",19
"Human Diseases","Neurodegenerative disease","cge05012","Parkinson disease","22/374","301/10848",0.0730897009966777,2.11999218291968,3.72364356462563,0.000733477259664637,0.0169132374756999,0.0155042922834056,"100770018/100771541/100774657/100689361/100762893/100762129/100772543/100750680/100754222/100760870/100774095/100752739/100770445/100765445/100756751/100757431/100755007/100763514/100755890/100754444/100682528/100689386",22
